# FormId	BillTypeNumber	BillTypeName
REM_ProdMainDayPlan	SCXZXRJH01_SYS	主线日计划
CMK_LS_Retail	POSADD	PC POS
CMK_LS_Retail	BZLSD	标准零售单
CMK_LS_OrderBill	BZDJD	标准预订单
CMK_LS_OrderBill	POSDJD	前台POS新增
CMK_RSM_StoreReceipt	MDDBSHD	门店调拨收货单
CMK_RSM_StoreReceipt	MDCGSHD	门店采购收货单
CMK_LS_StoresDelivery	MDDBFH	门店调拨发货单
CMK_LS_StoresDelivery	MDXSFHD	门店销售发货单
CMK_RSM_StoreReceipt	MDQTRKD	门店其他入库单
CMK_LS_StoresDelivery	MDQTCKD	门店其他出库单
CMK_PP_ICPromAdjPrice	YJTJ	永久调价
CMK_PP_PromComplex	BZZHCXPT	标准促销平台
QM_InspectBill	JYD001_SYS	来料检验单
QM_InspectBill	JYD002_SYS	产品检验单
CN_CASHACCESSBILL	XJCQ01_SYS	存款
PUR_Requisition	CGSQD04_SYS	费用采购申请
HR_HM_TransferIn	DR01_SYS	跨人事管理中心调入单
STK_InStock	RKD03_SYS	委外入库单
STK_TransferDirect	ZJDB02_SYS	寄售直接调拨单
SUB_RETURNMTRL	WWTLD01_SYS	普通委外退料
SAL_RETURNSTOCK	XSTHD02_SYS	寄售退货单
FA_CountingSheet	PYPK02_SYS	盘亏
PRD_MO	SCDD02_SYS	汇报入库-返工生产
FA_REQUISITION	ZCSQ01_SYS	标准资产申请
STK_StockCountInput	WLPDZY01_SYS	标准物料盘点作业
PLN_FORECAST	YCD01_SYS	普通预测单
PRD_MO	SCDD01_SYS	汇报入库-普通生产
SP_ReturnMtrl	JDSCTL01_SYS	简单生产退料
STK_MisDelivery	QTCKD02_SYS	资产出库
PRD_CVA	PDCYFT01_SYS	标准差异分摊
AR_receivable	YSD01_SYS	标准应收单
SAL_DELIVERYNOTICE	FHTZD01_SYS	标准发货通知单
IV_SALESOC	XSPTFP01_SYS	销售普通发票
SPM_PromotionApply	CXSQ01_SYS	产品促销申请
SPM_PromotionApply	CXSQ02_SYS	广告促销申请
SAL_SaleOrder	XSDD02_SYS	寄售销售订单
CN_BILLRECSETTLE	BRJS03_SYS	应收票据背书
PRD_INSTOCK	SCRKD01_SYS	汇报入库
PUR_MRAPP	TLSQDD02_SYS	资产退回申请单
PRD_MO	SCDD03_SYS	直接入库-普通生产
PUR_MRAPP	TLSQDD03_SYS	委外退料申请单
STK_StockCountLoss	PK01_SYS	标准盘亏单
STK_StockCountScheme	PDFA01_SYS	标准盘点方案
STK_AssembledApp	ZZCX01_SYS	标准组装拆卸
IV_PURCHASEIC	CGZZSZYFP01_SYS	采购增值税专用发票
CN_CASHACCESSBILL	XJCQ02_SYS	取款
HR_HM_InnerTransfer	YD01_SYS	标准内部异动申请单
AR_RECEIVEBILL	SKDLX01_SYS	销售收款单
STK_OEMInStock	STCLRK01_SYS	标准受托加工材料入库单
SAL_RETURNSTOCK	XSTHD04_SYS	分销购销销售退货单
AP_Payable	YFD02_SYS	费用应付单
SAL_SaleOrderChange	XSDDBGD02_SYS	退货订单变更单
CN_BANKTRANSBILL	YHZZ01_SYS	标准转账
CN_BILLPAYSETTLE	BPJS01_SYS	应付票据到期付款
HS_StoragePrice	CHSJWH01_SYS	存货市价单
SUB_PickMtrl	WWLLD02_SYS	倒冲委外领料
HR_PA_FeeAllocate	FYFP01_SYS	薪酬费用分配单
FA_BORROW	ZCJY01_SYS	资产借入
PUR_MRB	TLD04_SYS	委外退料单
AP_OtherPayable	QTYFD01_SYS	其他应付单
AP_REFUNDBILL	FKTKDLX02_SYS	其他业务退款单
CN_BANKTRANSBILL	YHZZ02_SYS	购汇
PLN_PLANORDER	JHDD01_SYS	MPS计划订单
HS_AdjustmentBill	CGRKTZD01_SYS	入库成本调整单
CP_SaleOrder	WSDD01_SYS	标准网上订单
STK_InStock	RKD04_SYS	分销购销入库单
IV_SALESIC	XSZZSZYFP01_SYS	销售增值税专用发票
PRD_MORPT	SCHBD01_SYS	入库汇报
PUR_MRAPP	TLSQDD01_SYS	标准退料申请
SUB_FEEDMTRL	WWBLD01_SYS	普通委外补料
SUB_PrepareMtrl	WWBL01_SYS	委外备料单
AR_receivable	YSD04_SYS	转销应收单
STK_MisDelivery	QTCKD01_SYS	标准其他出库单
CN_PAYAPPLY	FKSQ006_SYS	工资付款申请
ECC_AllThirdOrder	B2CDD02_SYS	标准B2C订单
ECC_AllThirdOrder	B2CDD01_SYS	手工B2C订单
ECC_AfterSaleOrder	B2CTH01_SYS	退货退款申请单
ECC_AfterSaleOrder	B2CTH04_SYS	退款不退货申请单
ECC_AfterSaleOrder	B2CTH03_SYS	退货补货（先退后补）申请单
ECC_AfterSaleOrder	B2CTH02_SYS	退货换货申请单
STK_TRANSFERIN	FBDR02_SYS	VMI分步式调入单
STK_TRANSFEROUT	FBDC02_SYS	VMI分步式调出单
SC_FundsTransf	ZJDBDLX01_SYS	普通资金调拨
AR_RECEIVEBILL	SKDLX05_SYS	资金调拨收款单
AP_PAYBILL	FKDLX07_SYS	资金调拨付款单
ECC_AllThirdOrder	B2CDD03_SYS	补/换货B2C订单
ECC_AllThirdOrder	B2CDD04_SYS	漏发补货B2C订单
ECC_AfterSaleOrder	B2CTH05_SYS	补发货申请单
REM_ProdSubDayPlan	SCXZIXRJH01_SYS	生产线子线日计划
SAL_SaleOrder	XSDD09_SYS	现销订单
SAL_OUTSTOCK	XSCKD06_SYS	现销出库单
SAL_RETURNSTOCK	XSTHD06_SYS	现销退货单
QM_DefectProcessBill	BLPCL001_SYS	来料检验不良品处理单
ECC_AfterSaleOrder	B2CTH06_SYS	补货退货（先补后退）申请单
PRD_MOVEMTRL	SCNL01_SYS	生产挪料
STK_InitInStock	QCRKD01_SYS	期初采购入库单
STK_InitInStock	QCRKD02_SYS	期初委外入库单
SAL_INITOUTSTOCK	QCXSCKD_SYS	期初销售出库单
SAL_INITOUTSTOCK	QCXSTHD_SYS	期初销售退货单
STK_MisDelivery	QTCKD05_SYS	库存调整
FA_PICKING	ZCTH01_SYS	标准资产退回
SC_FundsTransf	ZJDBDLX02_SYS	收付内部账户
SC_FundsTransf	ZJDBDLX03_SYS	资金内部账户
SC_TransferRepay	DBHKDLX01_SYS	调拨还款单
CN_JOURNAL	SGRJZ01_SYS	银行存款日记账
CN_JOURNAL	SGRJZ02_SYS	现金日记账
ENG_ECNOrder	GCBG01_SYS	普通工程变更单
REM_CVA	SCXPDCYFT01_SYS	生产线盘点差异分摊
QM_InspectBill	JYD006_SYS	退货检验单
QM_DefectProcessBill	BLPCL002_SYS	退货检验不良品处理单
SAL_OUTSTOCK	XSCKD07_SYS	B2C销售出库单
AP_Payable	YFD04_SYS	转销应付单
SAL_RETURNSTOCK	XSTHD07_SYS	B2C销售退货单
CMK_LS_DepositBill	DJD01_SYS	正常预订单
CMK_LS_DepositBill	DJD02_SYS	退订单
CRM_Contract	XSHT01_SYS	标准销售合同
ECC_AllThirdOrder	B2CDD05_SYS	合并B2C订单
QT_LotSNRelation	PHXLHGX001_SYS	批号序列号关系
QM_STKAPPInspect	FHQJD001_SYS	发货请检单
QM_InspectBill	JYD007_SYS	发货检验单
ECC_BILLS	ZD001_SYS	销售收款账单
ECC_BILLS	ZD002_SYS	销售退款账单
ECC_BILLS	ZD003_SYS	销售佣金账单
ECC_BILLS	ZD004_SYS	销售费用账单
CN_InnerAccountAdjust	NBZHTZDLX01_SYS	内部账户付款调整单
CN_InnerAccountAdjust	NBZHTZDLX02_SYS	内部账户收款调整单
CN_CASHTRANSBILL	XJZZD01_SYS	现金转账单
QM_InspectBill	JYD008_SYS	生产线检验
SVM_InquiryBill	XJD01_SYS	标准询价单
QM_MRBReviewBill	MRBPSD001_SYS	来料检验MRB评审单
SCP_QuoteBill	SCPBJ001_SYS	标准报价单
IV_PUREXVATIN	FYZZSFP01_SYS	进项费用增值税发票
SVM_ComparePrice	SVMBJD01_SYS	标准比价单
PRD_RetStock	SCTK01_SYS	生产退库
SFC_OperationRejects	GXBLP02_SYS	返修
PUR_InitMRS	QCTLD01_SYS	期初采购退料单
PUR_InitMRS	QCTLD02_SYS	期初委外退料单
SVM_InquiryBill	XJD02_SYS	直运询价单
SVM_InquiryBill	XJD03_SYS	资产询价单
SVM_InquiryBill	XJD04_SYS	费用询价单
SVM_InquiryBill	XJD05_SYS	VMI询价单
PRD_MO	SCDD08_SYS	柔性工序汇报入库-普通生产
PRD_ReturnMtrl	SCTLD02_SYS	倒冲生产退料
QM_DefectProcessBill	BLPCL003_SYS	产品检验不良品处理单
QM_DefectProcessBill	BLPCL004_SYS	自制工序检验不良品处理单
IV_SALEEXINV	SEXINV001_SYS	销项费用普通发票
IV_SALEEXVATIN	SEXVATIN001_SYS	销项费用增值税发票
SP_OUTSTOCK	JDSCTK01_SYS	简单生产退库
PUR_ReceiveBill	SLD03_SYS	委外收料单
AP_HookPayable	YMZGYFD01_SYS	月末暂估应付单
CMK_LS_OrderBill	O2ODJD	O2O预订单
CMK_LS_OrderBill	YDFKD	预订付款单
SC_RECEIVESETTLEBILL	SKJSD01_SYS	收款结算单
SC_PAYSETTLEBILL	FKJSD01_SYS	付款结算单
CP_SaleOrder	WSDD03_SYS	BBC企业订单
CP_SaleOrder	WSDD04_SYS	BBC配件订单
CMK_RSM_StoreRequest	CMK_RSM_StoreRequestSta	标准门店要货单
CP_BBCReturnReq	BBCTHSQD01_SYS	BBC企业商品退货申请单
CP_BBCReturnReq	BBCTHSQD02_SYS	BBC企业保内配件退货申请单
CP_BBCReturnReq	BBCTHSQD03_SYS	BBC企业保外配件退货申请单
SAL_RETURNNOTICE	THTZD03_SYS	BBC退货通知单
SAL_RETURNSTOCK	XSTHD08_SYS	BBC销售退货单
BM_Report	YSBB01_SYS	预算报表
SC_BorrowInterest	JKLXD01_SYS	外部借款利息单
SUB_CVA	WWCYFT01_SYS	标准差异分摊
ENG_ECRApply	GCBGSQ01_SYS	工程变更申请单
PUR_MRB	TLD01_SYS	标准退料单
AMB_INNERSETTLE	LYZXJNBJSD01_SYS	利润中心间内部结算单
SUB_EXCONSUME	WWCHD01_SYS	委外超耗单
SFC_AlertBill	XCYCCLD01_SYS	标准处理单
SP_PickMtrl	JDSCLL02_SYS	VMI简单生产领料
SP_ReturnMtrl	JDSCTL02_SYS	VMI简单生产退料
QM_InspectBill	JYD009_SYS	受托材料检验单
STK_OEMReceive	STCLSL01_SYS	标准受托加工材料收料单
AR_RECEIVEBILL	SKDLX06_SYS	保证金收款单
AR_REFUNDBILL	SKTKDLX03_SYS	保证金退款单
SCP_ReceiveBill	SCPSHTZD01_SYS	供应商协同送货通知单
PRD_MonEndTransfer	SCYMZZZY01_SYS	生产月末在制转移
SCP_InquiryBill	SCPXJD01_SYS	供应商协同询价单
SVM_QuoteBill	SCPBJD01_SYS	供应商协同报价单
SCP_PurchaseOrder	SCPCGDD01_SYS	供应商协同采购订单
SCP_POChange	SCPBGD01_SYS	供应商协同采购订单变更单
SCP_InStock	SCPCGRKD01_SYS	供应商协同采购入库单
SCP_MRAPP	SCPTLTZ01_SYS	供应商协同退料通知单
SCP_MRB	SCPCGTLD01_SYS	供应商协同采购退料单
SUB_MonEndTransfer	WWYMZZZY01_SYS	委外月末在制转移
CN_CASHFEXCHANGBILL	XJGHD01_SYS	现金购汇单
PUR_Contract	CGHT01_SYS	标准采购合同
CP_BBCOrder	BBCOrder01_SYS	BBC企业订单
CMK_BranchRequestManage	HandAllotType	手工铺货
CMK_BranchRequestManage	AutoAllotType	智能配货
PRD_ISSUEMTRNOTICE	SCFLTZD01_SYS	生产发料通知单
QM_InspectBill	JYD010_SYS	其他检验单
BM_ActualReport	YSSJSBB01_SYS	预算实际数报表
BM_Report	YSHZBB01_SYS	预算周期汇总报表
BM_BudgetSumReport	YSHZB01_SYS	预算汇总表
ESS_PREPAYMENT	ESS_PREPAYMENT01_SYS	预付款提报单
CP_BBCOrder	BBCOrder02_SYS	BBC配件订单
CP_BBCOrder	BBCOrder03_SYS	BBC企业分销调拨订单
CP_BBCOrder	BBCOrder04_SYS	BBC企业寄售订单
STK_TRANSFERAPPLY	DBSQD01_SYS	标准调拨申请单
STK_TRANSFERAPPLY	DBSQD02_SYS	VMI调拨申请单
STK_OutStockApply	CKSQ01_SYS	标准出库申请
STK_OutStockApply	CKSQ02_SYS	VMI出库申请
STK_OutStockApply	CKSQ03_SYS	资产出库申请
STK_OutStockApply	CKSQ04_SYS	费用物料出库申请
QM_InspectBill	JYD011_SYS	工序巡检单
Sal_SimulateQuotation	MNBJD01_SYS	标准模拟报价单
AM_InnerSettleBill	AMNBJSD01_SYS	经营单元内部结算单
PLN_CASCADEADJUST	DDJLTZ01_SYS	销售订单级联调整
PLN_CASCADEADJUST	DDJLTZ02_SYS	预测单级联调整
AP_AdjustExchangeRate	YFTHD01_SYS	应付调汇单
AR_AdjustExchangeRate	YSTHD01_SYS	应收调汇单
CP_BBCReturnReq	BBCTHSQD04_SYS	BBC寄售销售退货申请单
PRD_LackAnalyeBill	SCQLFX01_SYS	标准缺料分析单
PRD_MatchAnalyseBill	SCQTFX01_SYS	标准齐套分析单
CMK_LS_Retail	APPADD	APP POS
CMK_LS_Retail	SMALLROUTINE	小程序扫码购
CMK_LS_Retail	B2CADD	B2C自提
CMK_LS_Retail	DepositConvertSale	预订单转销售
SC_LINKPAYBILL	LDZFD01_SYS	联动支付单
ECC_PickDeliverySchedule	B2CJPD01_SYS	标准拣配单
PUR_PurchaseOrder	CGDD08_SYS	现购订单
PUR_ReceiveBill	SLD07_SYS	现购收料单
STK_InStock	RKD08_SYS	现购入库单
PUR_MRB	TLD07_SYS	现购退料单
PUR_MRAPP	TLSQDD04_SYS	现购退料申请
ECC_ConsignmentSchedule	B2CJPD03_SYS	代销拣配单
ECC_SelfPickSchedule	B2CJPD02_SYS	自提拣配单
CN_BILLRECSETTLE	BRJS06_SYS	应收票据质押结算单
CN_BILLRECSETTLE	BRJS07_SYS	应收票据撤押结算单
PLN_FORECAST	YCD02_SYS	ATO预测单
PUR_MRAPP	TLSQDD05_SYS	VMI退料申请
CMK_LS_Retail	SelfhelpShop	自助购
CMK_LS_Retail	SMALLONLINE	小程序线上购
STK_InStock	RKD02_SYS	零散采购入库单
CN_PAYAPPLY	FKSQ007_SYS	保证金付款申请
AP_PAYBILL	FKDLX08_SYS	保证金付款单
AP_REFUNDBILL	FKTKDLX04_SYS	保证金付款退款单
CN_BILLRECSETTLE	BRJS02_SYS	应收票据贴现
ER_ExpReimbursement_Travel	CLFBX002_SYS	差旅费报销单
SVM_InquiryBill	XJD06_SYS	委外询价单
ESS_ChannelReq	BBCChannelReq_SYS	BBC渠道调拨单
ESS_RetailReturnReq	RetailReturnReq01_SYS	销售开单退货
QM_DefectProcessBill	BLPCL005_SYS	委外工序检验不良品处理单
STK_StockConvert	KCZTZH02_SYS	检验库存状态转换
AR_BADDebtLoss	HZSSD01_SYS	坏账损失单
QM_MRBReviewBill	MRBPSD002_SYS	产品检验MRB评审单
SFC_UnproductiveTime	FZGS01_SYS	标准辅助工时
AR_HookReceivable	YMZGYSD01_SYS	月末发出商品单
LIVE_ReportCard	KP001_SYS	指标卡片
SFC_PrecautionTrack	YFCSGZD01_SYS	预防措施跟踪单
QM_MRBReviewBill	MRBPSD003_SYS	自制工序检验MRB评审单
LIVE_ReportCard	KP002_SYS	单据卡片
IV_PUREXPINV	FYFP01_SYS	进项费用普通发票
QM_ReturnMtrAppQc	SCTLQJD001_SYS	生产退料请检单
QM_InspectBill	JYD012_SYS	生产退料检验单
BDIP_SalePrediction	XLYCD01_SYS	销量预测单
LIVE_AnalysisTheme	ZTCOMMON_SYS	常规主题
LIVE_AnalysisTheme	ZTCUSTBUS_SYS	客户价值分析
AM_VOUCHER	JYLSZ01_SYS	日常业务
AM_VOUCHER	JYLSZ02_SYS	内部交易
AM_VOUCHER	JYLSZ03_SYS	调整业务
AM_VOUCHER	JYLSZ04_SYS	共享业务
FA_DISPOSAL	ZCCZ01_SYS	自有资产处置单
FA_DISPOSAL	ZCCZ02_SYS	租入资产处置单
QM_MRBReviewBill	MRBPSD004_SYS	库存检验MRB评审单
ER_ExpReimbursement	ZJBXD001_SYS	租金报销单
PLN_FOChange	YCDBGD01_SYS	预测单变更单
ER_ExpenseRequest	FYSQ002_SYS	BBC费用申请单
ER_ExpReimbursement	FYBXD002_SYS	BBC费用报销单
MEM_FeeRequest	BBC_FYSQD_SYS	营销费用申请单
AR_BADDEBTRECOVEY	HZSHD01_SYS	坏账收回单
MEM_FeeReimburse	BBCFYBXD	营销费用报销单
AM_VOUCHER	JYLSZ05_SYS	内部分摊
QM_MRBReviewBill	MRBPSD005_SYS	退货检验MRB评审单
PLN_MTOINVRelease	MTOKCSF01_SYS	标准MTO库存释放
PLN_MTOINVConvert	MTOKCTZ01_SYS	标准MTO库存调整
PLN_CASCADEADJUST	DDJLTZ03_SYS	生产订单级联调整
PLN_CASCADEADJUST	DDJLTZ04_SYS	委外订单级联调整
FA_TRANSFER	ZCTZ01_SYS	人人资产退库单
FA_TRANSFER	ZCTZ02_SYS	人人资产转移单
QM_DefectProcessBill	BLPCL006_SYS	生产退料检验不良品处理单
ER_LoanTransfer	JKZY001_SYS	借款转移单
ER_ReasonsRequest	SYSQD001_SYS	事由申请单
CP_BBCSaleScheme	CP_BBCSaleScheme01_SYS	BBC标准要货计划
LIVE_ReportCard	KP003_SYS	报表卡片
ER_ExpReimbursement	BFTKBXD001_SYS	负数费用报销单
FA_PICKINGAPPLY	RRZCLY01_SYS	人人资产领用
LIVE_AnalysisTheme	ZTSTATEMENT_SYS	报表主题
BM_ReportAdjust	YSTZB01_SYS	None
QM_MRBReviewBill	MRBPSD006_SYS	委外工序检验MRB评审单
AP_REFUNDBILL	FKTKDLX05_SYS	工资发放退款单
MEM_FEEREUESTGOODS	ZXPSQD_SYS_001	助销品申请单
PUR_Requisition	CGSQD03_SYS	资产采购申请单
QM_DefectProcessBill	BLPCL007_SYS	受托材料检验不良品处理单
QM_OtherInspectAppQc	QTQJD001_SYS	其他请检单
SUB_ReqChange	WWDDBGD01_SYS	委外订单变更单
ESS_ChannelOutStock	ESS_OUTSTOCK01_SYS	标准渠道出库单
ESS_OrderSign	ESS_OrderSign01_SYS	标准渠道入库单
ESS_ChannelOutStock	ESS_OUTSTOCK02_SYS	盘亏出库单
ESS_ChannelOutStock	ESS_OUTSTOCK03_SYS	其他出库单
ESS_ChannelOutStock	ESS_OUTSTOCK04_SYS	红字出库单
ESS_OrderSign	ESS_OrderSign02_SYS	盘盈入库单
ESS_OrderSign	ESS_OrderSign03_SYS	其他入库单
ESS_OrderSign	ESS_OrderSign04_SYS	红字入库单
FUM_AccountInAdjust	FUM_INADJUST01_SYS	充值调入单
FUM_AccountInAdjust	FUM_INADJUST02_SYS	报销调入单
FUM_AccountInAdjust	FUM_INADJUST03_SYS	退货调入单
FUM_AccountInAdjust	FUM_INADJUST04_SYS	初始调入单
FUM_AccountInAdjust	FUM_INADJUST05_SYS	其他调入单
FUM_AccountOutAdjust	FUM_OUTADJUST01_SYS	订货调出单
FUM_AccountOutAdjust	FUM_OUTADJUST02_SYS	尾款调出单
FUM_AccountOutAdjust	FUM_OUTADJUST03_SYS	其他调出单
FUM_AccountInOutAdjust	FUM_INOUTADJUST01_SYS	标准账户调整单
QM_MRBReviewBill	MRBPSD007_SYS	生产退料检验MRB评审
QM_MRBReviewBill	MRBPSD008_SYS	受托材料检验MRB评审
QM_DefectProcessBill	BLPCL008_SYS	发货检验不良品处理单
FUM_AccountInAdjust	FUM_INADJUST06_SYS	订单取消调入单
STK_StatusConvert	XTZH01_SYS	标准形态转换
PUR_PurchaseOrder	CGDD09_SYS	分销购销采购订单
STK_InStock	RKD09_SYS	直运入库单
PUR_MRB	TLD08_SYS	直运退料单
QM_SubRtnMtrlAppQc	WWTLQJD001_SYS	委外退料请检单
QM_DefectProcessBill	BLPCL009_SYS	其他检验不良品处理单
QM_InspectBill	JYD013_SYS	委外退料检验单
AR_AdFinalExchangeRate	YSQMTHD01_SYS	应收期末调汇单
AP_AdFinalExchangeRate	YFQMTHD01_SYS	应付期末调汇单
CN_RECCLAIMBILL	SKRLD01_SYS	收款认领单
SAL_OUTSTOCK	XSCKD08_SYS	直运销售出库单
SAL_RETURNSTOCK	XSTHD09_SYS	直运销售退货单
QM_MRBReviewBill	MRBPSD009_SYS	其他检验MRB评审单
CMK_LS_ProductAssemble	SD_Assemble	标准商品加工单
CMK_LS_ProductAssemble	LS_Assemble	零售自动组装单
SFC_OperOutGroupSend	GXWWJZFC01_SYS	工序委外集中发出
QM_DefectProcessBill	BLPCL0010_SYS	委外退料检验不良品处理单
PUR_ReceiveBill	SLD08_SYS	分销购销收料单
SFC_OperOutGroupReceive	GXWAJZJS01_SYS	工序委外集中接收
QM_MRBReviewBill	MRBPSD010_SYS	委外退料检验MRB评审单
FUM_AccountInAdjust	FUM_INADJUST07_SYS	资金账户授信调增
FUM_AccountOutAdjust	FUM_OUTADJUST04_SYS	资金账户授信调减
FUM_AccountInOutAdjust	FUM_INOUTADJUST02_SYS	信用还款调拨列表
STK_StockConvert	KCZTZH03_SYS	序列号调整库存状态转换
CP_RefundReq	BBCTKSQD001	BBC退款申请单
SCP_Contract	SCPCGHT01_SYS	供应商协同采购合同
SC_FundsApply	ZJQKD01_SYS	资金请款
SC_FundsDown	ZJXBD01_SYS	资金下拨
CMK_LS_StoresDelivery	MDCGTHD	门店采购退货单
CN_BILLRECSETTLE	BRJS01_SYS	应收票据到期收款
SAL_ConsignmentSettle	JSJSD02_SYS	寄售结算单（匹配库存）
CMK_LS_Assistants	POSBZDGD	POS标准导购单
CMK_LS_Assistants	POSDGYXD	POS导购意向单
CMK_LS_Assistants	POSBZTGD	POS标准退购单
CN_SplitRecBill	YSPJCFD01_SYS	应收票据拆分单
QM_MRBReviewBill	MRBPSD011_SYS	发货检验MRB评审单
SAL_RETURNNOTICE	THTZD01_SYS	标准退货通知单
AR_RECEIVEBILL	SKDLX02_SYS	其他业务收款单
ENG_BOM	WLQD01_SYS	物料清单
PRD_MO	YFYPSCDD	研发样品生产订单
STK_MISCELLANEOUS	MJQTRK	模具入库单
FA_BORROW	ZCJY02_SYS	资产借出
SAL_DELIVERYNOTICE	FHTZD02_SYS	寄售发货通知单
PRD_PPBOMChange	SCYLQDBGD01_SYS	生产用料清单变更单
PUR_PurchaseOrder	CGDD02_SYS	标准委外订单
SAL_SaleOrderChange	XSDDBGD01_SYS	标准销售订单变更单
SAL_RETURNSTOCK	XSTHD01_SYS	标准销售退货单
STK_InvInit	CSKC01_SYS	标准初始库存单
AP_REFUNDBILL	FKTKDLX01_SYS	采购业务退款单
PUR_ReceiveBill	SLD04_SYS	资产接收单
PLN_PLANORDER	JHDD02_SYS	MRP计划订单
DRP_ReOrderBill	BHD01_SYS	标准补货单
DRP_NeedApplication	YHSQ003_SYS	标准要货申请
SAL_SaleOrder	XSDD08_SYS	VMI销售订单
SAL_DELIVERYNOTICE	FHTZD05_SYS	VMI发货通知单
SAL_OUTSTOCK	XSCKD05_SYS	VMI出库单
CN_PAYAPPLY	FKSQ001_SYS	采购付款申请
CN_PAYAPPLY	FKSQ002_SYS	其他付款申请
CN_PAYAPPLY	FKSQ003_SYS	销售退款申请
CN_PAYAPPLY	FKSQ004_SYS	其他退款申请
SC_Interest	SC_Interest	内部利息单
SC_FundsUp	SC_FundsUp	资金上划单
SAL_ConsignmentSettle	JSJSD01_SYS	寄售结算单
PUR_ReceiveBill	SLD01_SYS	标准收料单
PLM_STD_BOM_SUB	PLMTDFA01_SYS	PLM替代方案
SAL_SaleOrder	XSDD04_SYS	直运销售订单
FA_CountingSheet	PYPK01_SYS	盘盈
PUR_PurchaseOrder	CGDD01_SYS	标准采购订单
PRD_MOChange	SCDDBGD01_SYS	生产订单变更单
HR_HM_PostBill	RZ01_SYS	标准任职信息
SUB_SUBREQORDER	WWDD02_SYS	返工委外订单
FA_PICKING	ZCLY01_SYS	标准资产领用
STK_StockConvert	KCZTZH01_SYS	标准库存状态转换
SAL_SaleOrder	XSDD03_SYS	受托加工销售
STK_StockCountGain	PY01_SYS	标准盘盈单
CN_BANKACNTSTATE	YHDZD01_SYS	银行对账单
PUR_MRB	TLD05_SYS	分销购销退料单
PRD_PickMtrl	SCLLD02_SYS	倒冲生产领料
PUR_Requisition	CGSQD01_SYS	标准采购申请
SUB_SUBREQORDER	WWDD01_SYS	普通委外订单
STK_CycleCountTable	WLZQPD01_SYS	标准周期盘点表
CP_SaleOrder	WSDD02_SYS	寄售网上订单
